id,date,type,provider,mileage,description,vehicle_id
44444444-4444-4444-4444-444444444000,2025-10-20,Mecanica,Oficina Central,100000,Preventiva,11111111-1111-1111-1111-111111111111
44444444-4444-4444-4444-444444444001,2025-04-23,Mecanica,Oficina Central,100100,Preventiva,11111111-1111-1111-1111-111111111112
44444444-4444-4444-4444-444444444002,2025-03-23,Mecanica,Oficina Central,100200,Preventiva,11111111-1111-1111-1111-111111111113
44444444-4444-4444-4444-444444444003,2025-04-24,Mecanica,Oficina Central,100300,Preventiva,11111111-1111-1111-1111-111111111114
44444444-4444-4444-4444-444444444004,2025-10-29,Mecanica,Oficina Central,100400,Preventiva,11111111-1111-1111-1111-111111111115
44444444-4444-4444-4444-444444444005,2025-06-26,Mecanica,Oficina Central,100500,Preventiva,11111111-1111-1111-1111-111111111116
44444444-4444-4444-4444-444444444006,2025-10-10,Mecanica,Oficina Central,100600,Preventiva,11111111-1111-1111-1111-111111111117
44444444-4444-4444-4444-444444444007,2025-03-16,Mecanica,Oficina Central,100700,Preventiva,11111111-1111-1111-1111-111111111118
44444444-4444-4444-4444-444444444008,2025-05-28,Mecanica,Oficina Central,100800,Preventiva,11111111-1111-1111-1111-111111111111
44444444-4444-4444-4444-444444444009,2026-01-18,Mecanica,Oficina Central,100900,Preventiva,11111111-1111-1111-1111-111111111112
44444444-4444-4444-4444-444444444010,2025-09-18,Mecanica,Oficina Central,101000,Preventiva,11111111-1111-1111-1111-111111111113
44444444-4444-4444-4444-444444444011,2025-08-31,Mecanica,Oficina Central,101100,Preventiva,11111111-1111-1111-1111-111111111114
44444444-4444-4444-4444-444444444012,2025-12-13,Mecanica,Oficina Central,101200,Preventiva,11111111-1111-1111-1111-111111111115
44444444-4444-4444-4444-444444444013,2025-10-02,Mecanica,Oficina Central,101300,Preventiva,11111111-1111-1111-1111-111111111116
44444444-4444-4444-4444-444444444014,2025-06-24,Mecanica,Oficina Central,101400,Preventiva,11111111-1111-1111-1111-111111111117
44444444-4444-4444-4444-444444444015,2025-08-27,Mecanica,Oficina Central,101500,Preventiva,11111111-1111-1111-1111-111111111118
44444444-4444-4444-4444-444444444016,2026-03-02,Mecanica,Oficina Central,101600,Preventiva,11111111-1111-1111-1111-111111111111
44444444-4444-4444-4444-444444444017,2025-05-29,Mecanica,Oficina Central,101700,Preventiva,11111111-1111-1111-1111-111111111112
44444444-4444-4444-4444-444444444018,2025-06-25,Mecanica,Oficina Central,101800,Preventiva,11111111-1111-1111-1111-111111111113
44444444-4444-4444-4444-444444444019,2025-09-05,Mecanica,Oficina Central,101900,Preventiva,11111111-1111-1111-1111-111111111114
44444444-4444-4444-4444-444444444020,2025-11-04,Mecanica,Oficina Central,102000,Preventiva,11111111-1111-1111-1111-111111111115
44444444-4444-4444-4444-444444444021,2025-06-14,Mecanica,Oficina Central,102100,Preventiva,11111111-1111-1111-1111-111111111116
44444444-4444-4444-4444-444444444022,2025-09-07,Mecanica,Oficina Central,102200,Preventiva,11111111-1111-1111-1111-111111111117
44444444-4444-4444-4444-444444444023,2025-05-31,Mecanica,Oficina Central,102300,Preventiva,11111111-1111-1111-1111-111111111118
44444444-4444-4444-4444-444444444024,2025-11-09,Mecanica,Oficina Central,102400,Preventiva,11111111-1111-1111-1111-111111111111
44444444-4444-4444-4444-444444444025,2025-07-19,Mecanica,Oficina Central,102500,Preventiva,11111111-1111-1111-1111-111111111112
44444444-4444-4444-4444-444444444026,2025-04-15,Mecanica,Oficina Central,102600,Preventiva,11111111-1111-1111-1111-111111111113
44444444-4444-4444-4444-444444444027,2025-12-20,Mecanica,Oficina Central,102700,Preventiva,11111111-1111-1111-1111-111111111114
44444444-4444-4444-4444-444444444028,2025-07-08,Mecanica,Oficina Central,102800,Preventiva,11111111-1111-1111-1111-111111111115
44444444-4444-4444-4444-444444444029,2025-11-19,Mecanica,Oficina Central,102900,Preventiva,11111111-1111-1111-1111-111111111116
