id,user_id,vehicle_id,start_time,end_time,start_odometer,end_odometer,distance_traveled,status,observations
22222222-2222-2222-2222-222222222000,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,2025-06-08 08:00:00+00,2025-06-08 18:00:00+00,95000,95167,167,encerrada,Seed data
22222222-2222-2222-2222-222222222001,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111112,2025-11-15 08:00:00+00,2025-11-15 18:00:00+00,15200,15404,204,encerrada,Seed data
22222222-2222-2222-2222-222222222002,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111113,2025-07-11 08:00:00+00,2025-07-11 18:00:00+00,180500,180612,112,encerrada,Seed data
22222222-2222-2222-2222-222222222003,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111114,2025-09-09 08:00:00+00,2025-09-09 18:00:00+00,55400,55610,210,encerrada,Seed data
22222222-2222-2222-2222-222222222004,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111115,2025-10-21 08:00:00+00,2025-10-21 18:00:00+00,1000,1117,117,encerrada,Seed data
22222222-2222-2222-2222-222222222005,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111116,2026-01-11 08:00:00+00,2026-01-11 18:00:00+00,290000,290050,50,encerrada,Seed data
22222222-2222-2222-2222-222222222006,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111117,2025-04-19 08:00:00+00,2025-04-19 18:00:00+00,1000,1185,185,encerrada,Seed data
22222222-2222-2222-2222-222222222007,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111118,2025-08-06 08:00:00+00,2025-08-06 18:00:00+00,382000,382200,200,encerrada,Seed data
22222222-2222-2222-2222-222222222008,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111111,2025-11-01 08:00:00+00,2025-11-01 18:00:00+00,95167,95404,237,encerrada,Seed data
22222222-2222-2222-2222-222222222009,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111112,2025-07-07 08:00:00+00,2025-07-07 18:00:00+00,15404,15649,245,encerrada,Seed data
22222222-2222-2222-2222-222222222010,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111113,2025-05-09 08:00:00+00,2025-05-09 18:00:00+00,180612,180764,152,encerrada,Seed data
22222222-2222-2222-2222-222222222011,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111114,2026-03-01 08:00:00+00,2026-03-01 18:00:00+00,55610,55715,105,encerrada,Seed data
22222222-2222-2222-2222-222222222012,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111115,2025-06-24 08:00:00+00,2025-06-24 18:00:00+00,1117,1331,214,encerrada,Seed data
22222222-2222-2222-2222-222222222013,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111116,2025-04-12 08:00:00+00,2025-04-12 18:00:00+00,290050,290106,56,encerrada,Seed data
22222222-2222-2222-2222-222222222014,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111117,2026-02-24 08:00:00+00,2026-02-24 18:00:00+00,1185,1353,168,encerrada,Seed data
22222222-2222-2222-2222-222222222015,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111118,2025-09-30 08:00:00+00,2025-09-30 18:00:00+00,382200,382407,207,encerrada,Seed data
22222222-2222-2222-2222-222222222016,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111111,2025-09-03 08:00:00+00,2025-09-03 18:00:00+00,95404,95526,122,encerrada,Seed data
22222222-2222-2222-2222-222222222017,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111112,2026-01-03 08:00:00+00,2026-01-03 18:00:00+00,15649,15734,85,encerrada,Seed data
22222222-2222-2222-2222-222222222018,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111113,2025-04-20 08:00:00+00,2025-04-20 18:00:00+00,180764,180949,185,encerrada,Seed data
22222222-2222-2222-2222-222222222019,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111114,2025-10-10 08:00:00+00,2025-10-10 18:00:00+00,55715,55775,60,encerrada,Seed data
22222222-2222-2222-2222-222222222020,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111115,2025-10-30 08:00:00+00,2025-10-30 18:00:00+00,1331,1494,163,encerrada,Seed data
22222222-2222-2222-2222-222222222021,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111116,2025-10-03 08:00:00+00,2025-10-03 18:00:00+00,290106,290184,78,encerrada,Seed data
22222222-2222-2222-2222-222222222022,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111117,2026-01-22 08:00:00+00,2026-01-22 18:00:00+00,1353,1438,85,encerrada,Seed data
22222222-2222-2222-2222-222222222023,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111118,2025-10-08 08:00:00+00,2025-10-08 18:00:00+00,382407,382541,134,encerrada,Seed data
22222222-2222-2222-2222-222222222024,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,2025-09-11 08:00:00+00,2025-09-11 18:00:00+00,95526,95721,195,encerrada,Seed data
22222222-2222-2222-2222-222222222025,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111112,2025-10-26 08:00:00+00,2025-10-26 18:00:00+00,15734,15860,126,encerrada,Seed data
22222222-2222-2222-2222-222222222026,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111113,2025-04-25 08:00:00+00,2025-04-25 18:00:00+00,180949,181098,149,encerrada,Seed data
22222222-2222-2222-2222-222222222027,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111114,2025-06-05 08:00:00+00,2025-06-05 18:00:00+00,55775,55986,211,encerrada,Seed data
22222222-2222-2222-2222-222222222028,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111115,2025-11-14 08:00:00+00,2025-11-14 18:00:00+00,1494,1636,142,encerrada,Seed data
22222222-2222-2222-2222-222222222029,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111116,2025-10-25 08:00:00+00,2025-10-25 18:00:00+00,290184,290415,231,encerrada,Seed data
22222222-2222-2222-2222-222222222030,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111117,2025-06-06 08:00:00+00,2025-06-06 18:00:00+00,1438,1609,171,encerrada,Seed data
22222222-2222-2222-2222-222222222031,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111118,2026-02-23 08:00:00+00,2026-02-23 18:00:00+00,382541,382593,52,encerrada,Seed data
22222222-2222-2222-2222-222222222032,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111111,2025-09-03 08:00:00+00,2025-09-03 18:00:00+00,95721,95918,197,encerrada,Seed data
22222222-2222-2222-2222-222222222033,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111112,2025-06-16 08:00:00+00,2025-06-16 18:00:00+00,15860,16102,242,encerrada,Seed data
22222222-2222-2222-2222-222222222034,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111113,2025-07-21 08:00:00+00,2025-07-21 18:00:00+00,181098,181338,240,encerrada,Seed data
22222222-2222-2222-2222-222222222035,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111114,2025-06-18 08:00:00+00,2025-06-18 18:00:00+00,55986,56224,238,encerrada,Seed data
22222222-2222-2222-2222-222222222036,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111115,2025-07-07 08:00:00+00,2025-07-07 18:00:00+00,1636,1833,197,encerrada,Seed data
22222222-2222-2222-2222-222222222037,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111116,2025-05-18 08:00:00+00,2025-05-18 18:00:00+00,290415,290501,86,encerrada,Seed data
22222222-2222-2222-2222-222222222038,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111117,2025-12-24 08:00:00+00,2025-12-24 18:00:00+00,1609,1792,183,encerrada,Seed data
22222222-2222-2222-2222-222222222039,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111118,2025-11-12 08:00:00+00,2025-11-12 18:00:00+00,382593,382841,248,encerrada,Seed data
22222222-2222-2222-2222-222222222040,00000000-0000-0000-0000-000000000004,11111111-1111-1111-1111-111111111111,2025-11-26 08:00:00+00,2025-11-26 18:00:00+00,95918,96049,131,encerrada,Seed data
22222222-2222-2222-2222-222222222041,00000000-0000-0000-0000-000000000005,11111111-1111-1111-1111-111111111112,2026-01-28 08:00:00+00,2026-01-28 18:00:00+00,16102,16271,169,encerrada,Seed data
22222222-2222-2222-2222-222222222042,00000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111113,2025-10-21 08:00:00+00,2025-10-21 18:00:00+00,181338,181429,91,encerrada,Seed data
