id,date,odometer,quantity,fuel_type,vehicle_id,location
33333333-3333-3333-3333-333333333000,2025-11-07,100000,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333001,2025-04-02,100100,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333002,2025-04-04,100200,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333003,2025-06-20,100300,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333004,2025-08-05,100400,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333005,2025-05-17,100500,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333006,2025-05-01,100600,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333007,2025-07-01,100700,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333008,2025-05-16,100800,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333009,2025-10-23,100900,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333010,2025-04-16,101000,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333011,2025-09-26,101100,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
33333333-3333-3333-3333-333333333012,2025-09-06,101200,40,Gasolina,11111111-1111-1111-1111-111111111115,Posto Central
33333333-3333-3333-3333-333333333013,2025-10-22,101300,40,Gasolina,11111111-1111-1111-1111-111111111116,Posto Central
33333333-3333-3333-3333-333333333014,2025-11-08,101400,40,Gasolina,11111111-1111-1111-1111-111111111117,Posto Central
33333333-3333-3333-3333-333333333015,2025-11-23,101500,40,Gasolina,11111111-1111-1111-1111-111111111118,Posto Central
33333333-3333-3333-3333-333333333016,2025-03-11,101600,40,Gasolina,11111111-1111-1111-1111-111111111111,Posto Central
33333333-3333-3333-3333-333333333017,2025-04-19,101700,40,Gasolina,11111111-1111-1111-1111-111111111112,Posto Central
33333333-3333-3333-3333-333333333018,2025-07-13,101800,40,Gasolina,11111111-1111-1111-1111-111111111113,Posto Central
33333333-3333-3333-3333-333333333019,2025-09-21,101900,40,Gasolina,11111111-1111-1111-1111-111111111114,Posto Central
